E_GeV,sigma_m2_corrected,lambda_E
1,6.1940952174520846e-43,0.8848707453502977
3,2.114553059513332e-42,0.9398013597837032
10,7.999999999999999e-42,1.0
30,2.5318334746401725e-41,1.0549306144334054
100,8.921034037197618e-41,1.1151292546497023
200,1.9546372432520893e-40,1.1497866136776995
300,2.983652666161925e-40,1.1700598690831079
1,3.097047608726042e-43,0.8848707453502977
3,1.0713735501534216e-42,0.9398013597837032
10,3.9999999999999995e-42,1.0
30,1.2659167373200863e-41,1.0549306144334054
100,4.460517018598809e-41,1.1151292546497023
200,9.658207554892676e-41,1.1497866136776995
300,1.474275435044716e-40,1.1700598690831079
